tipus,szerzo,cim,vers,link
poz,Györe László,Lecsófeszt,"Szombaton reggelre pörög már a község, Hogy a fesztre a sátrakat jól kikössék. Indul a gasztrofeszt már tizenhat éve, Csakis a finom lecsó tiszteletére. Bográcsba kolbász csúszik, paprikás a szaft, Az ízek örvénye vár, ebben van nagy kraft! Szabadtéri színpad és környéke is új, Reméljük, a szél a mai napon nem fúj! Csapatok jönnek a határokon túlról, A zsűri meg kóstol a sokféle jóból. Lecsó, pörkölt, sütik és fűszeres álmok, Sok finomat főznek a fiúk és lányok. Fent a színpadon dobban a ritmus veled, Mazsorettet, fúvósokat élvezheted! Operett, pop és rock, jöhet a toplista, Este meg diszkó - itt táncol a hold is ma! Ez itt a Lecsófeszt, itt pörög az élet, Nemesócsa ad itt minden jót és szépet! Jönnek a vendégek, szolgál a Cuki Team, Kaják, italok, tánc, móka és vicces rím. Gyereknek ugráló, felnőttnek sörcsata, Kötélhúzás, nevetés, a stáb jó laza. Rengeteg a program, gyere te is hozzánk, Lecsófesztünk a legjobb, sokan ezt mondják. Köszönet hát mindenkinek, aki itt van, Mulass velünk úgy, mint legjobb álmaidban! Ez a nap méltán híres, de nincs itt a vég! Évről évre jövünk vissza, nincs nálunk fék! Nemzetközi verseny sokat segít abban, Hogy összetartozásban égjen a katlan. Gasztrobarátság, és egész nap mulatunk, A versenyek végén díjakat juttatunk! Gyere, és légy te is nálunk Lecsókirály, A színpadon koronáz majd Válek Iván! Délelőtt ápoltad a baráti lángot, Utána hajnalig rophatod a táncot. Hatalmas élmény, és egy jó kis hagyomány, Esély a bánatra eléggé halovány. Maradj hát velünk, míg el nem megy a buszod, Ez itt a Lecsófeszt, soha meg nem unod!",https://poet.hu/vers/393131
poz,Bajsz István,Téli cinegejáték,"Csip-csirip! Szállok ágról ágra, Hódunna borult az egész világra. Jégcsap csillan, hópihe száll - A nap mosolyog, csillog az egész táj! Lent emberek - kacaj, szánkó, hógolyó, Felnőttek közt játszik a sok kis lurkó! Száll a nevetés, a kabát puffan, Egy hógolyó súrol, popóm a hóba huppan! Hempereg a hóban egy csizmás láb, Belefekszem én is - ó, de jó a vidámság! Cinke vagy hóangyal vagyok? Ezen már én is csak kacagni tudok. Csőrömön pici hópehely, de nem bánom, Rám ragadt a dallam, hát tovább nótázom! Csip-csirip! A szívem csak szálljon, Akár egy hópihe, át az egész világon.",https://poet.hu/vers/393000
poz,Csép Rózsika,Kóstolgatjuk,"Kóstolgatjuk egy ideje az időskor éveit, az időmúlással ismét ízlelgetjük az együttlét perceit. Csupa felfedezés a mindennapok kedve, ha nem is mindig rózsaszín, a szerelem köt egybe. Fel kell fognunk végre, hogy nincs idő vitára, gondolnunk kell arra, hogy vigyázzunk egymásra. Beszélgessünk hosszan, mit őriz a másik, lássunk a hibákban is hitet, csak ember hibázik. Tudjunk nevetni és boldognak lenni, egymás mosolyában a másikat keresni. Szövetségünk hosszú, kiállta a próbát, gyengeségeinkből építünk palotát. Megharcoltuk külön, csak kettőnknek ismerős, a valódi énünk kapcsa most erős. Fogd a kezem ismét, ne ereszd el soha, döcögő szekerünk elbír minket haza. Vezet a gondolat, szeretetfonalam, ez az út egyenes, s már nem boldogtalan.",https://poet.hu/vers/392999
poz,Kovács Boglárka Fanni,Érzem szomorú világ vár,Néha szomorú időben várnak rám új csodák ha visszatérsz a szívembe mint múló végtelen boldogság ami örömöt hoz mindenki szívébe áldás mérföld a világ ha hozzám szól egyre mélyebben a dallam,https://poet.hu/vers/392895
poz,György Emőke,"""Édes bûn""","Gyönyör-íz a garaton, Csokoládémaraton. Milka minden fajtája Előbb-utóbb a számba`. Nyálam számban összefut, Édes lesz az összes út. Csokifalat, mit bejár, Nyelvem úgy nyal, ízlel már! Olvadó csoki teste, Nyelvem csak őt kereste. Boldogsághormon éled, Vágy-örömöm felébred. Tudom, hogy most vétettem, A sok csokit megettem! Édes bűnöm bevallom, Amit tettem, nem bánom! Nincs olyan, ki utálja, Annál több, ki imádja! Csábít a csokoládé, Kedvencem: az eper, kávé. Csokibonbon bút elűz, Ízlelőbimbóban tűz. Megnövekedhet a háj, Gömbölyödhet a hastáj! De ha csokit nassolok, Táncolnak a hormonok! Nem számít a plusz kiló, Úgyis csokit enni jó!",https://poet.hu/vers/392840
poz,Varga Márton (Folyó),Benned az öröm,"Előzmény: Benned az erő Benned az öröm, mert beléd ömlött, öt ötlettől öntve öt ős-örömöt: két kezed az első, egy meg a száj, egy az élet kapuja, egy a halál. Így vagyunk hatan, mi, az örömök és te, ki egy kicsit korábban, ki pedig késve. És így vagyunk mi teljes, mert a hexagon lefedi a síkot. Le. Nagyon. Az öröm a végtelen tengernek síkja, hullámzik a bárkánk, amíg csak bírja. Lent és fent, a hullám akadály, jó akkor is, ha az öröm maga fáj. És ha benned az öröm szétárad, teljes testednek mindent átad, akkor te is sugárzod a mennyei örömöt, ami hol megvan, hol pedig megszökött.",https://poet.hu/vers/392776
OFF,Kucman Annamária,Vendégeim,"Van, hogy mellkasomra ül a maró fájdalom. Nem hívom - csak jön, s én csendben fogadom. Kedves vendég Ő is: szívemet elé tárom, suttoghatja búját-baját - én hallgatom. Van, hogy mellkasomban dúdol az öröm. Kitár minden ablakot, táncol, könnyedén pörög. Kedves vendég Ő is: lelkemet átadom, kacaghatja dalát - én hallgatom. Kitombolták magukat, csendben elvonulnak. Még viszlátot sem mondanak.",https://poet.hu/vers/392518
poz,Mód Károly,Van ilyen?,"Nem hittem volna, Boldog vers íródna. Mégis megtörténik, Este agyam nem őrlődik. Igaz, még kattog, De nem mocorog A rossz bennem, Elengedett engem. Most csak száll agyam, Nem sír most szavam. Leesett rólam terhem, Érzelmem nem terelem.",https://poet.hu/vers/392495
poz,Hangyási Mihály,Ki szelet vet...,"Porszemnyi csók Száll ajkaimra, Apró rezdülése ez Lelkednek, ám mégis Annál hatalmasabb, hiszen Ki szelet vet, az Vihart arat, s ki Porszemnyi csókkal üzeni Meg, hogy szeret, Az a legmagasabb hegyeknél Is hatalmasabb érzéseket Idézhet meg két érző szív között.",https://poet.hu/vers/392300
poz,Györe László,Hív a szentmártoni strand,"Nyár van, és téged hív a strandunk vize, Tápiószentmárton igazi kincse. Gyógyító, meleg - testnek felüdülés. A városból a legjobb menekülés. Csak hatvan kilométer Budapesttől, Itt viszont kijössz sokkal kevesebből. Retro a hangulat, fák adnak árnyat, Itt minden könny egy perc alatt felszárad. Strandunkon fürdesz, mint egy vicces fóka, Helyieknek hétköznap féláron a móka. Jéghideg a sör, egy kis hekk a kézbe, Ne állj meg otthon, gyere ki a fényre! Gyermek és felnőtt, mindenki jól érzi, A pancsolás öröm, nyáron jó így élni. Nincs nagy luxus, csak víz és vidám élet, Gyere és pancsolj, tégy egy próbát, kérlek! A lángos illata messzire elér, Utána egy fagyi mindennel felér. Törölköző leterítve a füvön, Nincs itt stressz, csak a nyugalom a köbön. Gyermeknek van külön kis medence, Ahol pancsolnak mindig jót nevetve. Az úszómedence csak bátraknak szól, A gyógyban pedig a reuma gyógyul. Szentmártonba hívunk, hát strandolj nálunk, Idén is kedvező árakkal várunk. Gyógyvizünk remek és imádni fogod, Ezt írja ezután a háziorvosod.",https://poet.hu/vers/392288
poz,Szajkó István,A Boldogság Titkai,"Volt egyszer egy érzés, lágy, mint reggeli fény, Nem harsány szó, nem vakító, csak csendes, tiszta remény. Nem mérhető pénzben, sem hírnév súlyában, De ott lakozik minden szív kis zugában. A boldogság néha egy csésze tea, Ha csendben kortyolod, s békéd megtalálja. Máskor egy mosoly, mit rég nem vártál, Egy pillantás, amitől lelkedbe nyár száll. Ott van az első harapásban, mikor otthon ízét érzed, Vagy egy régi dallamban, amit együtt énekeltél régen. Ott van a sétában, ha a szél arcodba kap, S a világ hirtelen megszűnik zűrzavarosnak. Boldogság az is, ha már nem félsz, Ha megérted, mi fontos, és mi, ami csak dísz. Ha nem rohanás az élet, hanem lépés, ami számít, Észreveszed a színeket, a halk neszeket, bármit. Lehet egy ölelés, egy baráti szó, Egy gondolat, mi elindít, mint hegy tetején a hó. A boldogság nem cél, mit el kell érni, Hanem út, amin érdemes végigmenni, s élni. S ha néha el is tűnik, mint álom hajnalban, Megtalálhatod újra egy gyermek kacajában. Mert mindig ott lesz, ha keresed szíveddel, A boldogság nem messze van - benned él csendesen.",https://poet.hu/vers/392282
poz,Lakatos János,A Nő,"Mert szépségét felfedezted, Üzenetét ő küldte neked. Csókjáért epedezel talán? Felőle jött erre vágy - az ám! Ha majd bókokkal halmozod el, Ő, ki tudat alatt kikövetel. Ha testét elérni kívánod, Megsúgta neked ezt az álmod. Úgy érzed, érte szíved megszakad? Akarta, hogy így érezd magad. Ha hibázik, te rontottad el, Helyrehozni csakis neked kell. Ha boldogságba beleőrül, Tőle jön érzés, mely rád feszül. Ha ott tartasz, megkéred kezét, Akarata máris célba ért. Tőle fakad minden érzésed, Rabságod lesz a fizetésed, E rabság mégis boldoggá tesz, Más érzésed mind semmissé lesz.",https://poet.hu/vers/392178
poz,Király Dávid (Zsoltáros),Boldogság titka,"Boldogságom, boldogságom enyém, tiéd, családágon Vidám kedvvel elnáspángol anyám pedig krumplipártol Gyerekeim vígan sírnak odamennek, verset írnak Kegyelmemmel el nem bírnak Bizony, szép így ez az élet A világ egy befőtté lett Széttört üveg, éles bőr Vére édes lényekből adott emberlényegből",https://poet.hu/vers/392045
poz,Szajkó István,Nyári motorozás,"Szél a hátunkon, napfény az úton, Barátokkal gurulunk, szívünk nyitva, szabadon. A motor zúgása a nyár dala, A horizont hív, s mi száguldunk utána. Pihenőknél nevetés és fagyi, Nincs gond, csak pillanatnyi. Tengerpart, hegycsúcs, mező s folyó - Mindet elérjük, ha a barátság hajt, s a motor jó. A nap lenyugszik, de bennünk ég, A szabadság lángja és az élmények, emlékek, Egy nyár, egy út, sok közös sztori, Ez az, amit semmi sem tud felülmúlni.",https://poet.hu/vers/391865
poz,Bajsz István,Parasztudvari idill,"Kakasszó rikolt, de a gazda csak morog: ""Kakaspörkölt lesz ebédre, a nyálam is már csorog!"" De a tyúk már kotyog, a disznó meg röfög, S a macska a sparhelten nyújtózva köhög. Az asszony se rest, szoknyát csapja vállra: ""Nem a kakas a hibás, ha lenn maradsz párnaországban."" Míg a kolbász már sülne a serpenyőben, A gazda csak mosolyog: ""Csak a szemed legyen csőben."" A kutya az udvaron farokkal seper, Egy veréb a teknőből pancsolva repked el, A tehén meg bölcsen kérődzik a napon, S egy fröccsöt hűt a patak - csak úgy, slusszpoén gyanánt itt hagyom. Lángol a délelőtt, nevet a táj, A levegőben széna, s egy kis kovász illata száll. A gazda s asszony összenevetnek - cinkos tűnődéssel: ""Ez is egy szép nap... ma sem haladtunk a kerítéssel."" ""De sebaj, hisz holnap is áll még a határ, Most a bort kóstoljuk, ne várjon a pohár. Nincs is jobb egy délutáni szunyánál, Hisz este majd táncolunk a présháznál!""",https://poet.hu/vers/391843
OFF,Morrancs,Déli boldogság,"Elegem van a föld szenvedő nyomorából Múltba menekülnék e szomorú világból Nem önző árulás kerget el a mások iránti részvét elől Könnyfakasztó tehetetlenség fájdalmas dühe ez Nem én vagyok ki - e halálos kórokon segíthet Nemsokára Isten vág itt végleg rendet Mert kezében már ott remeg a végső ítélet Óhajtott békés, gondtalan múltjaim Nem vágyom a tudatlan naiv ismeretlenre Mert gonosz az, ki vagyonán fekszik, boldogan henyélve Miközben a világban millióknak nem telik kenyérre Engem éltet a boldog múltból fakadt jövőm reménye Mikor szénaszagú árnyék lengedezett a nyárfák alatt A nyáj, hőségben az erdő szélben kérődzve delelget Félve heverésztem, kár lenne, ha álomba halna déli merengésem Alvás helyett inkább fűszállal egy fekete tücsköt hergelésztem A görögdinnye héján darazsak lakomáznak Az ágak közt sárgarigók paroláztak Fénycsíkok az avaron ábrákba kergetőztek Amott fémdarázs űzött egy pókot halálra Mellettem hangyák járták vég nélküli útjukat A karám széliben két kanveréb birkózott a földporába Karvalytól szánt villám csapott közibük De cakkos útja végin veréb helyett a levegőbe vágott Míg a pihenőben egy részeg kocsis bátran danolászott A hodály mögötti tarlón egy gólya bogarászott Közben az öreg, algás vályú szélén a víz lassan átcsorgott S a pocsolya széliben két billegető tétlenül ácsorog A lógó nyelvű filkó a tegnapi birkacsontot rágja Kutyamelegben a másik a hűvöst a csalánosba várja Három óra körű egyik juhász a kutyáit szólígatja Összevakarom magam, mert a délibáb is sátrát bontogatja",https://poet.hu/vers/391738
poz,Antónia Szajková,Szülinapom előtt,"Szülinapom előtt izgulok egy kicsit. Azt kértem, az idei nyugodtabban teljen. Sok minden változott a tavalyi óta, Olyan, mintha minden évben új életet élnék. Szülinapom előtt igazán várok, És kíváncsi vagyok. Tizenhét leszek - már csak egy év, És belépek a nagyok közé. Bár az évszám nem mindig jelent felnövést, Hisz a lelkem, szívem ugyanilyen marad - Akárhány év is teljen el, Bennem valami örök maradt.",https://poet.hu/vers/391378
poz,Jurisin (Szőke) Margit,A szív hangja,"A szeretet gyógyít, A bizalom emel, A hála fényt hoz A mindennapok felett. A megbocsátás szabad, A hit békét ad - Együtt bennünk él Minden pillanat.",https://poet.hu/vers/394094
OFF,Annnonimus,Nem én vagyok,"Remegek, remegve írok. Reszketek, ráz a hideg, amint padomra firkálok egy-egy szót, majd elmegyek. Világtalan világomat darabokban újra látom. Szedem szívemből a szilánkokat, a játékomat újra játszom. Elszenvedem, tévedtem. Újra-újra hittem. Két lábamat elvesztettem, már menekülnék innen. Sötét sétám sátora Egy álmatlan s erős fűzfa. Alatta álmatlan esték lábnyoma, felette csillag, mint ezernyi szikra. Mondd, te csendes éjjel! Mit tudsz, amit én nem? Mért tépsz mindig széjjel? Árokban az életem. Mondd meg, utána elmegyek. Elmegyek örökre, itt hagyok mindent, amit szerettem, nem kellenek. Mától én nem én vagyok.",https://poet.hu/vers/394018
poz,Koszpek Ferenc,Megosztom,"Csak hallgatni együtt... a csendet... nézni tó tükrén az ég kékjét... Ajtót, kaput nyitni, ha csenget! ...s mikor álmaidat széttépték, szíved csücskén bánat honol, fénytelen, szürke már világod, üres tér lett tág otthonod, harcát mind feladta, ki látott, akkor fogd meg, feszítsd pálcád, hű szíveddel s két kezeddel zúzd szét minden forrás gátját: fogadd szívem, s mégse vedd el!",https://poet.hu/vers/393684
poz,Gy. T.,Csendes hang,"Megismerni téged, Ennyit kértem én, Nem tudom, miért, Csak hozta a szél. Nem tagadom, Elutasítva érezni Nem könnyű, Mikor gondolataid Meséket írnak Egy fakó világban. Tudom, hogy ez is Az élet része, Tudom, hogy ez is Hasznomra szolgál, Tudom, hogy ez is Erősebbé tesz. Elengedni, Ha nem is könnyű, Mélybe húz, Ha tovább fogod. Engedd lassan, S bízz magadban, Az ott megszólaló, Csendes hangban.",https://poet.hu/vers/393269
poz,Csonka Sándor,Soha ne engedd el!,"Soha ne engedd el azt az Embert, aki előbb érinti meg Lelkedet, mint a testedet! Mert ő az, aki a csendben Is megért, aki a tekinteted Mögé lát és a szíved Rejtett zugait is ismeri. Akkor is megérti ""szavaid"", Mikor te csendben vagy. Ő az, akinek az ölelése Nemcsak a karjaidban tart, Hanem megnyugvást ad a Lelkednek. Egy ilyen Kapcsolat ritka kincs és Nem egy röpke pillanatnak szól. Hanem az örökkévalóságnak, Ha megtalálod azt, aki a Legmélyebb részedhez Szól, ne engedd el, mert ő A valódi lelki társad! S ő az, aki figyel rád, s megért. Mert tudja, hogy ő az, akivel Megosztod életed, a legmélyebb Titkaid! Ezt nevezik igaz barátságnak, Még akkor is, ha a lelki társad Egy nő, s te egy férfi vagy!",https://poet.hu/vers/393115
poz,Békássy Balázs,Tükröződő sziklák,"Énekelnek a bércek? A forrás nyújtja a karját hozzá, a csobogás vezényel. E szirtekre nem teszi rá a lábát az áradás. A fák bólogatnak, a bokrok ágaikat metszik. Ösvények utat sepernek a kalandoroknak? A cserje örömben könnyezve settenkedik. A tó a habjaival pálcát tisztít. Ugye, milyen gyönyörű a hangvilla? A kétkedők ezt nem hiszik? Ők nem hallják e pihentető trillákat. A halál is tisztelegve rúgja pedig a köveket. A fenyők szorgalmasan tűket hullatnak, de azt zöldfülű nem veszi észre. Amire ők vágynak, ott van a fennsík szélén, a szabad ég alatt.",https://poet.hu/vers/392851
poz,Dan Ibolya Csillag,Szeretetvirágzás,"Az igazság szeretetvirágzás, tehát Mondd el az igazat, csak az igazat minden körülmények között. Az igazságot mondd el félelem nélkül. Csak akkor halnak meg a hazugságok.",https://poet.hu/vers/392818
OFF,Vadász Attila,Összemelegedek,"Összemelegedek a halállal, már nem is annyira vészes, jobb vele, mint egy baráttal, a jövő sosem kétséges. Megsúgja, hova ne lépjek, rám szól, ha közelebb megyek, vigyáz, hogy ne nagyon égjek, s ha köröznek a döglegyek. Csúcsokon túlra is elvisz, oda, hol hófödte táj magánya jövőben nem hisz, s elfagyott minden, mi fáj. Az egyetlen, akiben bízom, nem másítja meg a szavát, s ha feltép pár sebet, felírom, mivel gyengíti magát.",https://poet.hu/vers/392810
OFF,Békássy Balázs,Tükröződő szikla,"Nem mind kincs, ami csörög, és nem minden villám félelmetes kint, ha dörög. A beázó járat a csuszamlást megkerülve dob sziklákat a szurdokba. Leszakadáshoz közelítő létrát kap el a szemem, futunk és szaladunk rajta fel egy alsó fennsíkra. Hol a fészkes pókhálóban vagyunk? Amíg ezen töröm a hülye fejemet, az egyik hölgy kiszúrja előttünk a félhomokdombon emelkedőre nyíló ösvényt. A másik lány kitépi a kezemből a fecnit, a harmadik nevet, és egyben félig töltött kettő puskát egy fára mászva felfedez. Leugorva kecsesen azt mondja, tiszta a levegő. A lábnyomokat eláztatták, mosódásban vedlik az alakjuk. Én tárat készítek beágyazásra, hölgy mellettem kéri tőlem a puskát. Ő szeretné megtölteni, adom számára a töltényeket. Patadobogás és üvöltések lentről, a készletemből egy gránátot hajítok deszkák felé. Legurul hamarabb a rövid járaton hozzájuk a lejtőn. Az utolsó hölgyet az úton haladva pillanatra falhoz nyomom csókkal. Öleli a derekam. A tartalék pisztolyomat kapja kibiztosítva. Beszélgetek vele, csőre van töltve. Suhintja rám a puszit, gyerünk tovább rejtett mosolyban. Be, a járatba, füstöl a kedvünk a fáradtságtól. Elnéztem egy jelet. A torkomat elhagyja a keserű kétség, és üvöltök. A lányok vigasztalnak. Leülnek velem faragott patkányfejjel díszített, kifosztott aranyládára, s nézzük a térképet. Kacagva világítja meg elménket a zsákutca. Rárúgok a meztelen téglákra, kapunk egy korhadva nyíló ajtót ládikával. A befüggönyözött ablak délutánt nyit. Felhő nélküli a tornác. Vállamat borítja két nő, tanácstalan a kezünk járása. A padló egy része dohog, amiképpen reményt hajkurászva dobbant sétálva az egyetlen álló nő. Ajkamat harmadik lépésként csók zavarja meg a gondolkodásban. A benti ágyon lepedők vannak, azzal idekint árnyékolunk. Fényben nem látszódik, amit a térkép csillant. A lényeg lefelé van, ennek nem örülve szedjük össze a sátorfát. A legfiatalabb követ, hogy a többi zárja a sort. A szűrődő fény oszlatja a kételyt. Hibás ajtó régies teremmel. Sarkantyú foglalja el a helyét, dobog a csend. Kiugrom a szabadba a sarokból, a hívatlan vendégeket meglepem. A többi hangot fegyverekből a barátaim adják le, s adja oda az eredményt a fülem. Ott a láda lelakatolva s rejtve egy szekrényben. Némi ruha fésüli a fedelét.",https://poet.hu/vers/392694
poz,T. Jósa Miklós,Déli harangszó,"Déli harang, hintánk újra megáll; bozóttűzben megtisztult már az éhség; bemutatja ég felé áldozatát. Hittel ebédelni jó, semmi kétség. Pehelysúlyú szalmakalap alatt örökzöld a fennkölt gondolat, áldás. Jó ember - rímek belsejét faragd. Szereld be, mit egy szókép odapányváz. Ah, érzelmek korlátja, tüzes érv, szaladni készül, lángja holt, kialszik meggyújtás előtt; csalfán aranylik. Elvakultam, hízelgő ellenérv igazam áldozta le napnyugtával. S kenyeret majszolok zakuszkával.",https://poet.hu/vers/392511
poz,Sailor,kitaposott csizma,hol jártál? ezer ide-oda kipróbált hajtott a muszáj sok idegen helyen megfordultál csoda hogy még járkálsz gyűrött külsőd alatt még most is az új hajt talán egyszer ráakadsz az igazi útra eldobtak de ha kellesz ha sár lesz megkeresnek s te újra boldogan lépkedsz lehet kissé szédelegsz de ki tudna a mindennapokban józan lenni minden szabályt betartani botladozz csak sorsod után lehet egyszer hazatalálsz,https://poet.hu/vers/392354
poz,Bognár-Takács Boglárka,"A hang, amit senki más nem penget","Láttam már hangokat sétálni az ujjbegyek alatt megszületni, és csendet, ami nem volt üres - csak pont olyan, mint ő. Van, aki nem kér teret, de mégis köré hajol a tér, mert a világ egy pillanatra megnyugszik, ha létezik. Sötét hajában délután lóg, szemében meg valami, nesztelen bölcsesség, amit csak azok értenek, akik nem kérdeznek. Kicsit ferde ez az egész élet, de ő tudja, hogy a torz az igaz, és hogy a húrok alatt néha jobban dobban a szív, mint bármelyik mellkasban. Nem kell, hogy mondjon bármit, mert ő már játszotta egyszer azt a dalt, amit még meg sem írtunk.",https://poet.hu/vers/392241
poz,R. Rácz Péter,Velem,"Közel vagyok, minden közelébe`. Bezárva a mindenség egébe. Talán csak én fénylek igazán itt, Mert minden velem együtt történik. Velem jön el a tél is, az ősz is, Virágzik és megsárgul a kőris, S amikor a szél csenddé szelídül, Feleszmél a nyár, és megsemmisül. Velem van a hétköznap, az ünnep, Velem zokognak, vígan örülnek, Megtalálsz az erdőn, völgyön, réten Szikrázó nappal és vaksötétben, Nem vagyok nyom, mit írtak végtagok, Megvagyok s érzem: minden én vagyok. Fellegek közt fény csókolt a földre, Szürkeséget varázsolva zöldre.",https://poet.hu/vers/392012
poz,Magyar Magdolna,Bizalom,"Nyúztuk, húztuk, vontuk Örömmel, bánattal, Dalolva, könnyezve, Vágtázva, döcögve, Harcolva, megbékélve, Hittel kibírva, Szabadságunkat nem elárverezve. Elszállt... Új generáció, Öregek, Ti is Mind, akik éltek a Földön, Látva, értve mindent Ne féljetek, bízzatok! Már közel a szellemi Világosság. - Akár megéljük, akár nem, Isten igazsága győzni fog!",https://poet.hu/vers/392008
poz,Tengeri Szépia,Mikor ér valami véget?,"Mikor ér valami véget? Ha kétségbeesetten keresed, hogy miért csinálod az egészet? Vagy ha már kiégett a lélek? Vagy befejezheted hamarabb, mert ez a szabad akarat? És honnan tudod, hogy jól döntöttél, kitartsál vagy meneküljél? Meddig vagy küzdő, reményteljes, s mikortól naiv, önmagadra veszedelmes? De végre döntöttél, és a döntéssel szabad lettél. Már nem tervezel, nem küzdesz, nem felelsz meg. Még sírsz, de már mosolyogsz a könnyeiden át. Már nem akarsz szétesni, s a sejtjeidben érzed az összetartozást. Már nem lüktet az agyad, a szíved lassan piheg. Legnagyobb szövetségesed magad vagy, s tudod, a jövő benned pihen.",https://poet.hu/vers/391923
poz,Yelchowt Elisabeth,Beléd égtem,"Szemerkélő esőben állunk kint kettesben. Esernyőnket nem nyitjuk, s a naplementét csodáljuk. Egymást nem is sajnáljuk, hagyva a szót, hadd szálljon. Nem kell tovább váratnod, ítéletét elhagytuk. Komolytalan arcodon, komolyságod láthatom. Ártatlanul pislogsz most, bár ajkad élve tépne húst. Kegyetlenség árad szét, de fájdalmasan jó e kép. Elfelejtett igaz lét, kegyelmes vagy, nem kérdés.",https://poet.hu/vers/393517
poz,Riczu Joli,Sanszos,"Rám kacsint a reggel, útnak indulok. Ebből a napból bármit kihozhatok. Nem fúj a szél sem, felhő sincs az égen, a nap ragyogva nevet, ma egy új sansz lehet. Jó történik velem, felemelem fejem, nincs bennem kétely, a mai nap kivétel. Utamon kísér mosolyom, derűs kedv és nyugalom. Tudom, ez az én napom, jó kedvem el nem hagyom. Szembe jönnek emberek, mosollyal felelnek. A nap ragyogva nevet, ma egy új sansz lehet. Ez a nap a legjobb, nem lehet, hogy elrontsd, mindent kihozok belőle, nem leszek letörve.",https://poet.hu/vers/393399
poz,Szabó Rezső Tibor,Ki ne szeretné...,"A friss elme még frissüljön! Ami erő, erősödjön! Ami velős, velősödjön! Ami derűs, derűsödjön! Ami munka, megtérüljön! Ami pörge - kalapodjon! Ami egész - `ségesedjen!",https://poet.hu/vers/393303
poz,Fadre,Két háromsoros,Szólt a kacsa libabőrös lett az egész testem a sok álhír hallatán Fehér szárnyak két fehér szárnnyal nemcsak az angyal szárnyal biz` a liba is,https://poet.hu/vers/393252
poz,Pete Margit,Békabánat,"Szél kergette fellegek, béka ugrál, kesereg: Nem ettem ma eleget! Hogy kapjam el a legyet? Bekapnám, de tovaszáll, szúnyogéknál vizitál! Üres szájban békanyál, de keserves ez a nyár!",https://poet.hu/vers/392749
poz,Merx Ildikó,Árnyék,"Felettem a napsugár Lángolva jön, meg nem áll Jön velem az utamon Attól fél, hogy elhagyom",https://poet.hu/vers/392110
